Matrix 10x10:
========================================
[ (51.325103 +0.000000i)  (-0.046197 +0.531483i)  (0.419026 +0.142459i)  (0.692096 +0.617305i)  (-0.801264 +0.070974i)  (0.654665 -0.977652i)  (0.829494 -0.105194i)  (-0.536168 -0.064497i)  (-0.814386 -0.630498i)  (0.633924 -0.789488i) ]
[ (-0.046197 -0.531483i)  (46.564763 +0.000000i)  (0.271031 -0.334164i)  (-0.467681 -0.843973i)  (-0.160292 -0.024753i)  (-0.948305 -0.762157i)  (0.436380 +0.953499i)  (0.162009 -0.374772i)  (0.638469 +0.195525i)  (0.588805 -0.568679i) ]
[ (0.419026 -0.142459i)  (0.271031 +0.334164i)  (52.690234 +0.000000i)  (0.542944 +0.070513i)  (0.906311 +0.521458i)  (-0.317814 +0.210761i)  (-0.114056 +0.775270i)  (0.630725 +0.430521i)  (0.787829 -0.000683i)  (0.570303 -0.488188i) ]
[ (0.692096 -0.617305i)  (-0.467681 +0.843973i)  (0.542944 -0.070513i)  (50.339679 +0.000000i)  (0.297762 -0.062442i)  (0.787678 -0.397506i)  (-0.204983 -0.631584i)  (-0.507945 -0.468557i)  (-0.801236 -0.188639i)  (0.941237 +0.345475i) ]
[ (-0.801264 -0.070974i)  (-0.160292 +0.024753i)  (0.906311 -0.521458i)  (0.297762 +0.062442i)  (49.209769 +0.000000i)  (-0.144063 -0.888632i)  (-0.871432 -0.570760i)  (0.885328 -0.412757i)  (0.870940 +0.772776i)  (0.462028 -0.003651i) ]
[ (0.654665 +0.977652i)  (-0.948305 +0.762157i)  (-0.317814 -0.210761i)  (0.787678 +0.397506i)  (-0.144063 +0.888632i)  (45.471953 +0.000000i)  (-0.044386 +0.879144i)  (0.552482 -0.136859i)  (0.499551 +0.118121i)  (0.771209 -0.311861i) ]
[ (0.829494 +0.105194i)  (0.436380 -0.953499i)  (-0.114056 -0.775270i)  (-0.204983 +0.631584i)  (-0.871432 +0.570760i)  (-0.044386 -0.879144i)  (49.071006 +0.000000i)  (0.429184 -0.314577i)  (0.829311 +0.813990i)  (-0.285483 -0.162482i) ]
[ (-0.536168 +0.064497i)  (0.162009 +0.374772i)  (0.630725 -0.430521i)  (-0.507945 +0.468557i)  (0.885328 +0.412757i)  (0.552482 +0.136859i)  (0.429184 +0.314577i)  (54.381592 +0.000000i)  (0.304562 +0.389015i)  (0.275991 -0.729213i) ]
[ (-0.814386 +0.630498i)  (0.638469 -0.195525i)  (0.787829 +0.000683i)  (-0.801236 +0.188639i)  (0.870940 -0.772776i)  (0.499551 -0.118121i)  (0.829311 -0.813990i)  (0.304562 -0.389015i)  (53.621106 +0.000000i)  (-0.598361 +0.072945i) ]
[ (0.633924 +0.789488i)  (0.588805 +0.568679i)  (0.570303 +0.488188i)  (0.941237 -0.345475i)  (0.462028 +0.003651i)  (0.771209 +0.311861i)  (-0.285483 +0.162482i)  (0.275991 +0.729213i)  (-0.598361 -0.072945i)  (54.730682 +0.000000i) ]
========================================
