Matrix 10x10:
========================================
[ (49.505260 +0.000000i)  (0.574315 -0.455605i)  (-0.959638 -0.692952i)  (0.567194 +0.542185i)  (0.283018 +0.072961i)  (-0.175584 -0.798476i)  (-0.473080 +0.575216i)  (-0.737785 -0.547416i)  (-0.751982 -0.289506i)  (-0.238772 -0.429010i) ]
[ (0.574315 +0.455605i)  (49.099624 +0.000000i)  (0.705821 -0.158755i)  (0.917554 -0.130613i)  (-0.153770 -0.340995i)  (-0.904008 -0.694525i)  (0.700515 -0.357277i)  (-0.764374 -0.670418i)  (0.839976 -0.041909i)  (-0.039240 +0.431127i) ]
[ (-0.959638 +0.692952i)  (0.705821 +0.158755i)  (50.936024 +0.000000i)  (-0.289475 -0.590703i)  (0.844351 +0.635763i)  (0.477186 +0.485552i)  (-0.084659 -0.527770i)  (0.621475 +0.285936i)  (-0.867118 -0.496316i)  (0.876390 -0.476595i) ]
[ (0.567194 -0.542185i)  (0.917554 +0.130613i)  (-0.289475 +0.590703i)  (50.821303 +0.000000i)  (-0.839384 +0.282304i)  (0.873488 -0.496922i)  (0.007444 -0.962188i)  (-0.985771 -0.134477i)  (-0.312017 -0.019955i)  (-0.259495 -0.687660i) ]
[ (0.283018 -0.072961i)  (-0.153770 +0.340995i)  (0.844351 -0.635763i)  (-0.839384 -0.282304i)  (50.826710 +0.000000i)  (0.897673 +0.667132i)  (0.145793 -0.918672i)  (0.066357 +0.716699i)  (-0.404936 -0.896479i)  (-0.706331 -0.192621i) ]
[ (-0.175584 +0.798476i)  (-0.904008 +0.694525i)  (0.477186 -0.485552i)  (0.873488 +0.496922i)  (0.897673 -0.667132i)  (50.814074 +0.000000i)  (-0.346135 +0.927867i)  (0.390257 -0.890489i)  (0.199472 -0.630167i)  (-0.848944 -0.251153i) ]
[ (-0.473080 -0.575216i)  (0.700515 +0.357277i)  (-0.084659 +0.527770i)  (0.007444 +0.962188i)  (0.145793 +0.918672i)  (-0.346135 -0.927867i)  (50.108622 +0.000000i)  (0.693888 +0.944299i)  (-0.364124 -0.270369i)  (-0.838918 -0.660607i) ]
[ (-0.737785 +0.547416i)  (-0.764374 +0.670418i)  (0.621475 -0.285936i)  (-0.985771 +0.134477i)  (0.066357 -0.716699i)  (0.390257 +0.890489i)  (0.693888 -0.944299i)  (49.247117 +0.000000i)  (0.030787 +0.793061i)  (-0.255937 -0.035408i) ]
[ (-0.751982 +0.289506i)  (0.839976 +0.041909i)  (-0.867118 +0.496316i)  (-0.312017 +0.019955i)  (-0.404936 +0.896479i)  (0.199472 +0.630167i)  (-0.364124 +0.270369i)  (0.030787 -0.793061i)  (50.678249 +0.000000i)  (-0.024862 +0.323467i) ]
[ (-0.238772 +0.429010i)  (-0.039240 -0.431127i)  (0.876390 +0.476595i)  (-0.259495 +0.687660i)  (-0.706331 +0.192621i)  (-0.848944 +0.251153i)  (-0.838918 +0.660607i)  (-0.255937 +0.035408i)  (-0.024862 -0.323467i)  (50.702130 +0.000000i) ]
========================================
