Matrix 10x10:
========================================
[ (1.000983 -0.000000i)  (-0.000005 -0.000006i)  (0.000002 -0.000004i)  (0.000005 -0.000007i)  (0.000003 -0.000019i)  (0.000009 -0.000002i)  (0.000011 +0.000005i)  (0.000009 -0.000006i)  (0.000004 +0.000005i)  (-0.000009 +0.000002i) ]
[ (-0.000005 +0.000006i)  (1.000967 +0.000000i)  (0.000003 +0.000013i)  (-0.000004 -0.000001i)  (-0.000007 +0.000006i)  (-0.000000 -0.000008i)  (0.000006 -0.000006i)  (-0.000012 -0.000002i)  (0.000011 -0.000000i)  (-0.000015 +0.000001i) ]
[ (0.000002 +0.000004i)  (0.000003 -0.000013i)  (1.001019 -0.000000i)  (-0.000003 +0.000001i)  (-0.000006 +0.000004i)  (0.000000 -0.000002i)  (0.000003 -0.000006i)  (-0.000002 -0.000018i)  (-0.000012 -0.000009i)  (0.000004 +0.000003i) ]
[ (0.000005 +0.000007i)  (-0.000004 +0.000001i)  (-0.000003 -0.000001i)  (1.001001 -0.000000i)  (-0.000014 -0.000003i)  (-0.000014 -0.000005i)  (-0.000000 -0.000010i)  (0.000006 -0.000002i)  (-0.000005 -0.000002i)  (-0.000005 +0.000003i) ]
[ (0.000003 +0.000019i)  (-0.000007 -0.000006i)  (-0.000006 -0.000004i)  (-0.000014 +0.000003i)  (1.000999 +0.000000i)  (-0.000002 -0.000001i)  (0.000016 -0.000005i)  (0.000006 +0.000014i)  (0.000002 +0.000002i)  (0.000008 +0.000014i) ]
[ (0.000009 +0.000002i)  (-0.000000 +0.000008i)  (0.000000 +0.000002i)  (-0.000014 +0.000005i)  (-0.000002 +0.000001i)  (1.001007 +0.000000i)  (-0.000002 +0.000003i)  (-0.000009 +0.000006i)  (0.000010 +0.000003i)  (0.000000 -0.000008i) ]
[ (0.000011 -0.000005i)  (0.000006 +0.000006i)  (0.000003 +0.000006i)  (-0.000000 +0.000010i)  (0.000016 +0.000005i)  (-0.000002 -0.000003i)  (1.001052 -0.000000i)  (-0.000003 -0.000011i)  (0.000011 +0.000005i)  (0.000005 -0.000009i) ]
[ (0.000009 +0.000006i)  (-0.000012 +0.000002i)  (-0.000002 +0.000018i)  (0.000006 +0.000002i)  (0.000006 -0.000014i)  (-0.000009 -0.000006i)  (-0.000003 +0.000011i)  (1.000981 +0.000000i)  (0.000001 +0.000006i)  (-0.000001 -0.000012i) ]
[ (0.000004 -0.000005i)  (0.000011 +0.000000i)  (-0.000012 +0.000009i)  (-0.000005 +0.000002i)  (0.000002 -0.000002i)  (0.000010 -0.000003i)  (0.000011 -0.000005i)  (0.000001 -0.000006i)  (1.000967 +0.000000i)  (0.000013 -0.000012i) ]
[ (-0.000009 -0.000002i)  (-0.000015 -0.000001i)  (0.000004 -0.000003i)  (-0.000005 -0.000003i)  (0.000008 -0.000014i)  (0.000000 +0.000008i)  (0.000005 +0.000009i)  (-0.000001 +0.000012i)  (0.000013 +0.000012i)  (1.000969 -0.000000i) ]
========================================
