Matrix 10x10:
========================================
[ (1.000000 -0.000982i)  (-0.000006 +0.000005i)  (-0.000004 -0.000002i)  (-0.000007 -0.000005i)  (-0.000019 -0.000003i)  (-0.000002 -0.000009i)  (0.000005 -0.000011i)  (-0.000006 -0.000009i)  (0.000005 -0.000004i)  (0.000002 +0.000009i) ]
[ (0.000006 +0.000005i)  (1.000000 -0.000966i)  (0.000013 -0.000003i)  (-0.000001 +0.000004i)  (0.000006 +0.000007i)  (-0.000008 +0.000000i)  (-0.000006 -0.000006i)  (-0.000002 +0.000012i)  (-0.000000 -0.000011i)  (0.000001 +0.000015i) ]
[ (0.000004 -0.000002i)  (-0.000013 -0.000003i)  (0.999999 -0.001019i)  (0.000001 +0.000003i)  (0.000004 +0.000006i)  (-0.000002 -0.000000i)  (-0.000006 -0.000003i)  (-0.000018 +0.000002i)  (-0.000009 +0.000012i)  (0.000003 -0.000004i) ]
[ (0.000007 -0.000005i)  (0.000001 +0.000004i)  (-0.000001 +0.000003i)  (0.999999 -0.001000i)  (-0.000003 +0.000014i)  (-0.000005 +0.000014i)  (-0.000010 +0.000000i)  (-0.000002 -0.000006i)  (-0.000002 +0.000005i)  (0.000003 +0.000005i) ]
[ (0.000019 -0.000003i)  (-0.000006 +0.000007i)  (-0.000004 +0.000006i)  (0.000003 +0.000014i)  (1.000000 -0.000998i)  (-0.000001 +0.000002i)  (-0.000005 -0.000016i)  (0.000014 -0.000006i)  (0.000002 -0.000002i)  (0.000014 -0.000008i) ]
[ (0.000002 -0.000009i)  (0.000008 +0.000000i)  (0.000002 -0.000000i)  (0.000005 +0.000014i)  (0.000001 +0.000002i)  (0.999999 -0.001006i)  (0.000003 +0.000002i)  (0.000006 +0.000009i)  (0.000003 -0.000010i)  (-0.000008 -0.000000i) ]
[ (-0.000005 -0.000011i)  (0.000006 -0.000006i)  (0.000006 -0.000003i)  (0.000010 +0.000000i)  (0.000005 -0.000016i)  (-0.000003 +0.000002i)  (0.999999 -0.001052i)  (-0.000011 +0.000003i)  (0.000005 -0.000011i)  (-0.000009 -0.000005i) ]
[ (0.000006 -0.000009i)  (0.000002 +0.000012i)  (0.000018 +0.000002i)  (0.000002 -0.000006i)  (-0.000014 -0.000006i)  (-0.000006 +0.000009i)  (0.000011 +0.000003i)  (1.000000 -0.000980i)  (0.000006 -0.000001i)  (-0.000012 +0.000001i) ]
[ (-0.000005 -0.000004i)  (0.000000 -0.000011i)  (0.000009 +0.000012i)  (0.000002 +0.000005i)  (-0.000002 -0.000002i)  (-0.000003 -0.000010i)  (-0.000005 -0.000011i)  (-0.000006 -0.000001i)  (1.000000 -0.000966i)  (-0.000012 -0.000013i) ]
[ (-0.000002 +0.000009i)  (-0.000001 +0.000015i)  (-0.000003 -0.000004i)  (-0.000003 +0.000005i)  (-0.000014 -0.000008i)  (0.000008 -0.000000i)  (0.000009 -0.000005i)  (0.000012 +0.000001i)  (0.000012 -0.000013i)  (1.000000 -0.000969i) ]
========================================
