=================================================================
EXPERIMENT 2: Matrix Exponentiation Methods Comparison
N=100
Test matrix: H_test_matrix.txt
Reference: Eigen Pade approximation
-----------------------------------------------------------------
Method | Param | Max Element Diff | Max Eig Diff | Time (ms)
-----------------------------------------------------------------
Taylor | 1 | 1.784858498653e+36 | 2.479110074423e+36 | 8.400000000000e-01
Taylor | 2 | 5.775373883939e+00 | 7.348551734467e+00 | 7.880000000000e-01
Taylor | 3 | 3.927071485887e-01 | 6.463032545487e-01 | 1.093000000000e+00
Taylor | 4 | 3.037145493318e-02 | 4.480723780233e-02 | 1.174000000000e+00
Taylor | 5 | 1.484653733682e-03 | 2.373473793511e-03 | 1.201000000000e+00
Taylor | 6 | 6.182680609086e-05 | 9.011820787622e-05 | 1.279000000000e+00
Taylor | 7 | 2.254662680758e-06 | 3.582210487315e-06 | 1.338000000000e+00
Taylor | 8 | 7.308552463176e-08 | 1.057211915146e-07 | 1.518000000000e+00
Taylor | 9 | 2.132044945884e-09 | 3.370537235589e-09 | 1.464000000000e+00
Taylor | 10 | 5.675280016270e-11 | 8.100389789015e-11 | 1.600000000000e+00
Taylor | 11 | 1.236633417102e-12 | 1.888881900312e-12 | 1.626000000000e+00
Taylor | 12 | 4.621608057837e-13 | 6.410848473552e-13 | 1.673000000000e+00
Taylor | 13 | 4.609246626876e-13 | 6.406940279059e-13 | 1.740000000000e+00
Taylor | 14 | 4.609166703740e-13 | 6.405105228647e-13 | 1.821000000000e+00
Taylor | 15 | 4.609166703740e-13 | 6.405105228647e-13 | 1.867000000000e+00
Taylor | 16 | 4.609166703740e-13 | 6.405105228647e-13 | 1.930000000000e+00
Taylor | 17 | 4.609166703740e-13 | 6.405105228647e-13 | 1.994000000000e+00
Taylor | 18 | 4.609166703740e-13 | 6.405105228647e-13 | 2.067000000000e+00
Taylor | 19 | 4.609166703740e-13 | 6.405105228647e-13 | 2.123000000000e+00
Taylor | 20 | 4.609166703740e-13 | 6.405105228647e-13 | 2.276000000000e+00
Taylor | 21 | 4.609166703740e-13 | 6.405105228647e-13 | 2.267000000000e+00
Taylor | 22 | 4.609166703740e-13 | 6.405105228647e-13 | 2.351000000000e+00
Taylor | 23 | 4.609166703740e-13 | 6.405105228647e-13 | 2.385000000000e+00
Taylor | 24 | 4.609166703740e-13 | 6.405105228647e-13 | 2.473000000000e+00
Taylor | 25 | 4.609166703740e-13 | 6.405105228647e-13 | 2.521000000000e+00
Taylor | 26 | 4.609166703740e-13 | 6.405105228647e-13 | 2.588000000000e+00
Taylor | 27 | 4.609166703740e-13 | 6.405105228647e-13 | 2.686000000000e+00
Taylor | 28 | 4.609166703740e-13 | 6.405105228647e-13 | 2.716000000000e+00
Taylor | 29 | 4.609166703740e-13 | 6.405105228647e-13 | 2.939000000000e+00
Taylor | 30 | 4.609166703740e-13 | 6.405105228647e-13 | 2.958000000000e+00
Chebyshev | 1 | 1.220200707611e+22 | 1.318159558005e+22 | 8.600000000000e-01
Chebyshev | 2 | 2.163194029116e+00 | 2.759879625813e+00 | 9.390000000000e-01
Chebyshev | 3 | 1.424421096761e+00 | 2.392525958135e+00 | 1.090000000000e+00
Chebyshev | 4 | 5.378400457207e-02 | 9.633968036280e-02 | 1.359000000000e+00
Chebyshev | 5 | 2.952585241716e-03 | 5.368668347225e-03 | 1.471000000000e+00
Chebyshev | 6 | 1.508175048335e-04 | 2.664478809585e-04 | 1.407000000000e+00
Chebyshev | 7 | 6.196336801750e-06 | 1.060940773662e-05 | 1.505000000000e+00
Chebyshev | 8 | 2.126019382253e-07 | 3.646154615046e-07 | 1.621000000000e+00
Chebyshev | 9 | 6.775635111812e-09 | 1.209883231553e-08 | 1.715000000000e+00
Chebyshev | 10 | 2.096511887004e-10 | 3.965855447208e-10 | 1.949000000000e+00
Chebyshev | 11 | 5.925762447242e-12 | 1.057288982006e-11 | 2.147000000000e+00
Chebyshev | 12 | 6.034582424930e-13 | 6.284979393014e-13 | 2.780000000000e+00
Chebyshev | 13 | 5.392103041745e-13 | 4.997847683373e-13 | 2.673000000000e+00
Chebyshev | 14 | 5.388594145712e-13 | 4.994486348450e-13 | 2.261000000000e+00
Chebyshev | 15 | 5.388594145712e-13 | 4.994197978601e-13 | 2.185000000000e+00
Chebyshev | 16 | 5.388594145712e-13 | 4.994197978601e-13 | 2.754000000000e+00
Chebyshev | 17 | 5.388594145712e-13 | 4.994197978601e-13 | 2.680000000000e+00
Chebyshev | 18 | 5.388594145712e-13 | 4.994197978601e-13 | 4.383000000000e+00
Chebyshev | 19 | 5.388594145712e-13 | 4.994197978601e-13 | 2.767000000000e+00
Chebyshev | 20 | 5.388594145712e-13 | 4.994197978601e-13 | 2.913000000000e+00
Chebyshev | 21 | 5.388594145712e-13 | 4.994197978601e-13 | 3.200000000000e+00
Chebyshev | 22 | 5.388594145712e-13 | 4.994197978601e-13 | 3.260000000000e+00
Chebyshev | 23 | 5.388594145712e-13 | 4.994197978601e-13 | 3.725000000000e+00
Chebyshev | 24 | 5.388594145712e-13 | 4.994197978601e-13 | 3.396000000000e+00
Chebyshev | 25 | 5.388594145712e-13 | 4.994197978601e-13 | 3.425000000000e+00
-----------------------------------------------------------------
