=================================================================
EXPERIMENT 1: Comparison of Omega Matrix Calculation Accuracy (H = const)
N=100, dt=1.000000000000e-05
Reference: Omega_ref = -i * H * dt
-----------------------------------------------------------------
Method | K | Max Element Diff | Max Eig Diff | Time (ms)
-----------------------------------------------------------------
Classic | 1 | 1.561251128379e-17 | 2.130662706117e-19 | 1.147800000000e+01
Classic | 2 | 1.561251128379e-17 | 2.130686331216e-19 | 2.891200000000e+01
ACC | 1 | 1.561251128379e-17 | 2.130662706117e-19 | 1.037000000000e+00
ACC | 2 | 1.561251128379e-17 | 2.130662706117e-19 | 1.852000000000e+00
ACC | 3 | 1.561251128379e-17 | 2.130662706117e-19 | 1.595000000000e+00
ACC | 4 | 1.561251128379e-17 | 2.130662706117e-19 | 1.608000000000e+00
ACC | 5 | 1.561251128379e-17 | 2.130662706117e-19 | 1.613000000000e+00
Recursive | 1 | 1.387778780781e-17 | 2.124955768232e-19 | 3.266300000000e+01
Recursive | 2 | 1.387778780781e-17 | 2.124969079104e-19 | 8.524700000000e+01
Recursive | 3 | 1.387778780781e-17 | 2.124969079104e-19 | 1.572760000000e+02
Recursive | 4 | 1.387778780781e-17 | 2.124969079104e-19 | 2.668290000000e+02
Recursive | 5 | 1.387778780781e-17 | 2.124969079104e-19 | 4.615410000000e+02
Recursive | 6 | 1.387778780781e-17 | 2.124969079104e-19 | 7.846510000000e+02
Recursive | 7 | 1.387778780781e-17 | 2.124969079104e-19 | 1.335763000000e+03
Recursive | 8 | 1.387778780781e-17 | 2.124969079104e-19 | 2.186789000000e+03
Recursive | 9 | 1.387778780781e-17 | 2.124969079104e-19 | 3.426298000000e+03
Recursive | 10 | 1.387778780781e-17 | 2.124969079104e-19 | 5.169067000000e+03
Recursive | 11 | 1.387778780781e-17 | 2.124969079104e-19 | 7.817489000000e+03
Recursive | 12 | 1.387778780781e-17 | 2.124969079104e-19 | 1.117831200000e+04
Recursive | 13 | 1.387778780781e-17 | 2.124969079104e-19 | 1.624979900000e+04
Recursive | 14 | 1.387778780781e-17 | 2.124969079104e-19 | 2.181417200000e+04
Recursive | 15 | 1.387778780781e-17 | 2.124969079104e-19 | 2.966049100000e+04
Formula 3.14 | 4 | 0.000000000000e+00 | 0.000000000000e+00 | 1.268100000000e+01
